feature,importance
subs_count,0.09096366296896635
tenure_days,0.07650798180597589
usage_duration_sum_60d,0.03648542309616951
usage_duration_sum_90d,0.03550400169784652
usage_count_sum_60d,0.03536112799073387
res_time_mean,0.03510528856177818
seats_mean,0.03440722057814647
usage_duration_sum_30d,0.03415809529697974
urgent_rate,0.028761473408525678
mrr_max,0.02868393114472267
first_resp_mean,0.028548068346718615
usage_count_sum_90d,0.028337391452457873
seats,0.026682357037286983
mrr_mean,0.02656792153445781
arr_mean,0.024527581677343674
auto_renew_rate,0.0243883828232099
res_time_max,0.02401250662197341
usage_count_sum_30d,0.022864541470408367
trial_rate,0.02205809414792601
errors_sum_90d,0.021941901942936933
high_rate,0.021328728071341074
tickets,0.02016401783601003
satisfaction_missing,0.01870868030729598
errors_sum_30d,0.01867080871002359
satisfaction_mean,0.018444509195471054
errors_sum_60d,0.018080395800307503
usage_events_90d,0.01567832061206799
distinct_features_90d,0.014980189787327923
usage_events_60d,0.014366536017737583
beta_share_90d,0.01227867287579106
distinct_features_60d,0.01225502410177664
upgrades,0.01181097266889858
beta_share_60d,0.009685660660436067
usage_events_30d,0.008386934736316052
distinct_features_30d,0.008077882877576865
escalation_rate,0.005960890806648413
country_UK,0.005666718908600815
industry_DevTools,0.004402256365261322
country_US,0.0043629748959161
downgrades,0.004239821711542291
beta_share_30d,0.004183732727073638
plan_tier_Pro,0.004131093084238933
referral_source_organic,0.0036982385471562556
referral_source_event,0.0034484270466931363
plan_tier_Basic,0.003390406908081681
latest_billing_frequency_annual,0.0033294778477020153
latest_plan_tier_Pro,0.0032168284397170706
plan_tier_Enterprise,0.0031408681838903337
is_trial,0.0030331005931632103
latest_billing_frequency_monthly,0.0030108051842205356
industry_Cybersecurity,0.0029884087185410068
industry_FinTech,0.0028932037772215545
latest_plan_tier_Enterprise,0.0028480209534531152
referral_source_ads,0.0027966192168038077
country_AU,0.002782973634992968
referral_source_partner,0.002685074132789858
referral_source_other,0.002464534208543248
latest_plan_tier_Basic,0.0022884108892731085
country_DE,0.0022743262143109432
industry_EdTech,0.0022095430361209053
industry_HealthTech,0.0017962934715978886
country_FR,0.0017362333623927347
country_IN,0.00158842828946099
country_CA,0.0006480009816497152
