threshold,precision,recall,f1,tp,fp,tn,fn
0.1,0.776,1.0,0.8738738738738738,97,28,0,0
0.15,0.776,1.0,0.8738738738738738,97,28,0,0
0.2,0.776,1.0,0.8738738738738738,97,28,0,0
0.25,0.776,1.0,0.8738738738738738,97,28,0,0
0.3,0.776,1.0,0.8738738738738738,97,28,0,0
0.35,0.776,1.0,0.8738738738738738,97,28,0,0
0.4,0.776,1.0,0.8738738738738738,97,28,0,0
0.45,0.776,1.0,0.8738738738738738,97,28,0,0
0.5,0.7899159663865546,0.9690721649484536,0.8703703703703703,94,25,3,3
0.55,0.788135593220339,0.9587628865979382,0.8651162790697674,93,25,3,4
0.6,0.7946428571428571,0.9175257731958762,0.8516746411483254,89,23,5,8
0.65,0.8316831683168316,0.865979381443299,0.8484848484848485,84,17,11,13
0.7,0.8734177215189873,0.711340206185567,0.7840909090909091,69,10,18,28
0.75,0.8923076923076924,0.5979381443298969,0.7160493827160493,58,7,21,39
0.8,0.9215686274509803,0.4845360824742268,0.6351351351351351,47,4,24,50
0.85,0.9411764705882353,0.32989690721649484,0.48854961832061067,32,2,26,65
0.9,0.9230769230769231,0.12371134020618557,0.21818181818181817,12,1,27,85
